date,forecast
2025-11-13,263.870483398438
2025-11-14,263.870483398438
2025-11-15,56.2551536560059
2025-11-16,49.564453125
2025-11-17,249.489974975586
2025-11-18,260.307922363281
2025-11-19,260.307922363281
2025-11-20,260.307922363281
2025-11-21,260.307922363281
2025-11-22,149.639526367188
2025-11-23,46.7620544433594
2025-11-24,257.768981933594
2025-11-25,263.870483398438
2025-11-26,263.870483398438
2025-11-27,148.170654296875
2025-11-28,246.853073120117
2025-11-29,55.8471260070801
2025-11-30,47.0918426513672
2025-12-01,245.645721435547
2025-12-02,252.959823608398
2025-12-03,252.959823608398
2025-12-04,250.863830566406
2025-12-05,254.36213684082
2025-12-06,51.1277542114258
2025-12-07,48.7178344726563
2025-12-08,244.749465942383
2025-12-09,255.708160400391
2025-12-10,255.708160400391
